state,signal,date,issue,lag,value,stderr,sample_size,geo_type,data_source
UT,smoothed_cli,2020-04-07,2020-09-03,149,0.8110101,0.1061214,4845.7935,state,fb-survey
VA,smoothed_cli,2020-04-07,2020-09-03,149,0.7327855,0.0692396,10966.2255,state,fb-survey
VT,smoothed_cli,2020-04-07,2020-09-03,149,0.6339558,0.2172609,1070.0011,state,fb-survey
WA,smoothed_cli,2020-04-07,2020-09-03,149,0.8545696,0.0730492,11864.9365,state,fb-survey
WI,smoothed_cli,2020-04-07,2020-09-03,149,0.8897827,0.0843161,9521.9941,state,fb-survey
WV,smoothed_cli,2020-04-07,2020-09-03,149,0.626513,0.1122696,3662.4421,state,fb-survey
WY,smoothed_cli,2020-04-07,2020-09-03,149,1.2378503,0.299368,1018.6084,state,fb-survey
AK,smoothed_cli,2020-04-08,2020-09-03,148,1.0040782,0.2021256,1985,state,fb-survey
AL,smoothed_cli,2020-04-08,2020-09-03,148,0.7521305,0.0661984,12476.237,state,fb-survey
AR,smoothed_cli,2020-04-08,2020-09-03,148,0.9516634,0.0960925,7776.3826,state,fb-survey
AZ,smoothed_cli,2020-04-08,2020-09-03,148,0.9741202,0.0655831,16514.4887,state,fb-survey
CA,smoothed_cli,2020-04-08,2020-09-03,148,0.7421559,0.0597178,15728.9819,state,fb-survey
CO,smoothed_cli,2020-04-08,2020-09-03,148,1.323541,0.076904,16525.5203,state,fb-survey
CT,smoothed_cli,2020-04-08,2020-09-03,148,0.938538,0.0876958,8855,state,fb-survey
DC,smoothed_cli,2020-04-08,2020-09-03,148,0.447065,0.1402471,1590,state,fb-survey
DE,smoothed_cli,2020-04-08,2020-09-03,148,0.6478601,0.1357881,2614.0365,state,fb-survey
FL,smoothed_cli,2020-04-08,2020-09-03,148,0.6810326,0.0532112,17850.0014,state,fb-survey
GA,smoothed_cli,2020-04-08,2020-09-03,148,0.7237772,0.0572961,15569.8877,state,fb-survey
HI,smoothed_cli,2020-04-08,2020-09-03,148,0.6668739,0.1316445,2804,state,fb-survey
